family,father,mother,children,childNum,sex,childHeight
192,65,65,6,5,female,64.5
192,65,65,6,6,female,60.5
193,65,64,6,1,male,67
193,65,64,6,2,male,67
193,65,64,6,3,female,64
193,65,64,6,4,female,64
193,65,64,6,5,female,62.5
193,65,64,6,6,female,60.5
194,65,63,2,1,male,70
194,65,63,2,2,female,63
195,65,63,3,1,male,66
195,65,63,3,2,male,66
195,65,63,3,3,female,63
196,65.5,63,4,1,male,71
196,65.5,63,4,2,male,71
196,65.5,63,4,3,male,69
196,65.5,63,4,4,female,63.5
197,65.5,60,5,1,male,68
197,65.5,60,5,2,male,68
197,65.5,60,5,3,male,67
197,65.5,60,5,4,male,67
197,65.5,60,5,5,female,62
198,64,64,7,1,male,71.5
198,64,64,7,2,male,68
198,64,64,7,3,female,65.5
198,64,64,7,4,female,64
198,64,64,7,5,female,62
198,64,64,7,6,female,62
198,64,64,7,7,female,61
199,64,64,7,1,male,70.5
199,64,64,7,2,male,68
199,64,64,7,3,female,67
199,64,64,7,4,female,65
199,64,64,7,5,female,64
199,64,64,7,6,female,64
199,64,64,7,7,female,60
200,64,63,1,1,male,64.5
201,64,60,2,1,male,66
201,64,60,2,2,female,60
202,63,63.5,2,1,female,68.5
202,63,63.5,2,2,female,63.5
203,62,66,3,1,male,64
203,62,66,3,2,female,62
203,62,66,3,3,female,61
204,62.5,63,2,1,male,66.5
204,62.5,63,2,2,female,57
